group,n_after_binning,signal,noise,snr,noise_signal_ratio,snr_reason,removed_source,source_reason,n_removed_points,n_final,outlier_fraction,max_abs_local_z
"source_id=1760679413013474304, lensComponentSourceId=1760679413013474371",30,6.675210952758789,5.327488899230957,1.2529751030963914,0.7981004550918599,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,30,0.0,3.55762176617989
"source_id=1807003693327705344, lensComponentSourceId=1807003693327705409",26,4.530742645263672,5.381948232650757,0.8418406215386722,1.1878733033483848,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,25,0.038461538461538464,4.476260190001593
"source_id=1807003693327705344, lensComponentSourceId=1807003693327705411",17,5.234268951416013,5.679047584533691,0.9216807701472711,1.084974355969491,ok,True,less_than_20_points_after_cleaning,2,0,0.11764705882352941,14.317828944174865
"source_id=1816089851251338368, lensComponentSourceId=1816089851251338433",38,27.874609375000546,38.71422100067139,0.7200095637858022,1.388870440473056,ok,True,bad_snr_low (snr=0.720 < min_snr=0.800),0,0,,
"source_id=1816089851251338368, lensComponentSourceId=1816089851251338435",24,21.549440574646,5.604116360346476,3.8452878543217293,0.2600585542317976,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,23,0.041666666666666664,4.128064544354784
"source_id=1824963803448259456, lensComponentSourceId=1824963803448259521",42,10.233704603921211,8.72973108291626,1.172281769818565,0.8530372353694204,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,42,0.0,2.906646503823943
"source_id=1824963803448259456, lensComponentSourceId=1824963803448259523",41,10.251773180443536,7.813294410705566,1.3120935474281925,0.7621407802515906,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,40,0.024390243902439025,6.882541569491681
"source_id=1824963803448259456, lensComponentSourceId=1824963803448259525",22,5.895956134796137,5.133887600898743,1.1484388816311415,0.8707472517646633,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,22,0.0,3.4035389426607208
"source_id=1838547406315860864, lensComponentSourceId=1838547406315860929",37,16.860351562499943,11.227004289627075,1.5017676245191842,0.6658819804563083,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,35,0.05405405405405406,7.514027126316397
"source_id=1838547406315860864, lensComponentSourceId=1838547406315860931",23,10.327661911366384,5.143021782239278,2.008092197282063,0.49798510315088723,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,22,0.043478260869565216,4.487252655563309
"source_id=1896043862922069632, lensComponentSourceId=1896043862922069697",33,4.957579803466793,4.939803123474121,1.0035986616365733,0.996414242292128,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,31,0.06060606060606061,4.63985622153104
"source_id=1896043862922069632, lensComponentSourceId=1896043862922069699",18,23.38544540405271,5.745858311653137,4.069965553557916,0.24570232520169905,ok,True,less_than_20_points_after_cleaning,1,0,0.05555555555555555,13.047644759796635
"source_id=1905161971117186176, lensComponentSourceId=1905161971117186241",47,154.82929534912108,10.12001132965088,15.29932035703189,0.06536238059361761,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,46,0.02127659574468085,4.016150626954822
"source_id=1905161971117186176, lensComponentSourceId=1905161971117186243",46,5.585588773091629,6.000433802604675,0.9308641602990488,1.0742705999968252,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,3,43,0.06521739130434782,12.123213158151627
"source_id=1981625793581429632, lensComponentSourceId=1981625793581429697",57,8.144366963704414,8.090283393859863,1.0066850031342038,0.9933593893686795,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,57,0.0,3.9364535884197767
"source_id=1981625793581429632, lensComponentSourceId=1981625793581429699",33,6.275616455078122,5.198198318481445,1.2072676090033103,0.8283167646861451,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,32,0.030303030303030304,7.009856401472395
"source_id=1993461967540106112, lensComponentSourceId=1993461967540106177",55,11.809385681152378,9.970419597625732,1.1844421957892888,0.8442792764011754,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,55,0.0,3.5603862399545356
"source_id=1993461967540106112, lensComponentSourceId=1993461967540106179",48,6.716189002990724,5.682832717895508,1.1818382374411847,0.8461394870461415,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,46,0.041666666666666664,8.714405493589211
"source_id=2043667558242118656, lensComponentSourceId=2043667558242118721",55,16.26073608398451,17.10999870300293,0.9503645421744324,1.0522278090384156,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,3,52,0.05454545454545454,6.538602218691654
"source_id=2043667558242118656, lensComponentSourceId=2043667558242118723",54,9.628349036301756,8.640491962432861,1.1143287995826974,0.8974011982589769,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,53,0.018518518518518517,4.427544934458869
"source_id=2054505233904010880, lensComponentSourceId=2054505233904010945",49,85.88479003906237,13.521911196419113,6.351527442496921,0.1574424434206457,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,7,42,0.14285714285714285,11.570436091496374
"source_id=2054505233904010880, lensComponentSourceId=2054505233904010947",48,8.886585108439135,7.959566791852315,1.1164659259516168,0.8956834030986235,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,47,0.020833333333333332,4.943748685377834
"source_id=2117350191811386496, lensComponentSourceId=2117350191811386561",50,50.02790546417236,6.7215516567230225,7.442910211682077,0.13435604777690888,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,50,0.0,3.7264552067275822
"source_id=2117350191811386496, lensComponentSourceId=2117350191811386563",41,7.252338409423821,5.65964412689209,1.281412443401514,0.7803888632027768,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,41,0.0,3.9058322760748765
"source_id=2126077874598020352, lensComponentSourceId=2126077874598020417",55,1803.5558715820316,27.57196044921875,65.41268165909963,0.015287555480625811,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,13,42,0.23636363636363636,148.71116299926487
"source_id=2126077874598020352, lensComponentSourceId=2126077874598020419",17,2047.590261066896,26.9062557220459,76.10089944210198,0.01314044915803927,ok,True,less_than_20_points_after_cleaning,5,0,0.29411764705882354,34.54714682320308
"source_id=2126077874598020352, lensComponentSourceId=2126077874598020421",54,12.685690066823554,9.677340030670166,1.3108653851801315,0.7628548371979368,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,54,0.0,3.4371740702000633
