componentID,SourceID,RFprob_real,RFpred_real,EDSMprob_real,EDSMpred_real,RFprob_synth,RFpred_synth,EDSMprob_synth,EDSMpred_synth,final_pred_real,final_pred_synth,final_pred
3938214363067948865,3938214363067948800,0.956,True,0.9536605477333069,True,0.988,True,0.5212164521217346,True,True,True,True
3938214363067948867,3938214363067948800,,False,,False,,False,,False,False,False,False
3941492793209513153,3941492793209513088,1.0,True,0.9992806315422058,True,1.0,True,0.9216734170913696,True,True,True,True
3941492793209513155,3941492793209513088,1.0,True,0.9952176809310913,True,1.0,True,0.8660034537315369,True,True,True,True
3956501195648081985,3956501195648081920,1.0,True,0.9790163040161133,True,0.996,True,0.8113230466842651,True,True,True,True
3956501195648081987,3956501195648081920,,False,,False,,False,,False,False,False,False
3975233510826944705,3975233510826944640,0.984,True,0.9989237189292908,True,0.898,True,0.44723355770111084,True,True,True,True
3975233510826944707,3975233510826944640,,False,,False,,False,,False,False,False,False
3977375153318276929,3977375153318276864,0.968,True,0.9994038343429565,True,0.996,True,0.9832568764686584,True,True,True,True
3977375153318276931,3977375153318276864,0.334,False,0.41913121938705444,False,0.78,True,0.24341097474098206,False,False,True,True
3985692782689406657,3985692782689406592,1.0,True,0.9862288236618042,True,0.998,True,0.5214133262634277,True,True,True,True
3985692782689406659,3985692782689406592,,False,,False,,False,,False,False,False,False
3985692782689406661,3985692782689406592,,False,,False,,False,,False,False,False,False
3992914344995211201,3992914344995211136,0.996,True,0.9997594952583313,True,1.0,True,0.9359351396560669,True,True,True,True
3992914344995211203,3992914344995211136,0.986,True,0.9992666840553284,True,1.0,True,0.9949753284454346,True,True,True,True
4010648879140787649,4010648879140787584,1.0,True,0.9996504783630371,True,0.982,True,0.8509171009063721,True,True,True,True
4010648879140787651,4010648879140787584,,False,,False,,False,,False,False,False,False
4010648879140787653,4010648879140787584,,False,,False,,False,,False,False,False,False
4024730328852847041,4024730328852846976,1.0,True,0.9804393649101257,True,0.998,True,0.4889526069164276,True,True,True,True
4029169843273586241,4029169843273586176,1.0,True,0.9279376268386841,True,1.0,True,0.30337435007095337,False,True,True,True
4029169843273586243,4029169843273586176,1.0,True,0.9942213892936707,True,1.0,True,0.615757942199707,True,True,True,True
4034893900807493313,4034893900807493248,1.0,True,0.99720698595047,True,1.0,True,0.9971455931663513,True,True,True,True
4034893900807493315,4034893900807493248,0.932,True,0.18419001996517181,False,0.868,True,0.38628658652305603,False,True,True,True
4091646396130791383,4091646396130791296,,False,,False,,False,,False,False,False,False
4249707995789272257,4249707995789272192,1.0,True,0.9978964328765869,True,0.998,True,0.4220045804977417,True,True,True,True
4249707995789272259,4249707995789272192,,False,,False,,False,,False,False,False,False
4356573654059014465,4356573654059014400,1.0,True,0.9143310785293579,True,0.998,True,0.6931459903717041,True,True,True,True
4356573654059014467,4356573654059014400,,False,,False,,False,,False,False,False,False
4356573654059014469,4356573654059014400,,False,,False,,False,,False,False,False,False
4358554188033274561,4358554188033274496,1.0,True,0.928751528263092,True,0.948,True,0.4057959020137787,True,True,True,True
4358554188033274563,4358554188033274496,1.0,True,0.8699555993080139,True,0.992,True,0.7467256784439087,True,True,True,True
4377576215935403969,4377576215935403904,1.0,True,0.9990259408950806,True,1.0,True,0.5223208665847778,True,True,True,True
4377576215935403971,4377576215935403904,1.0,True,0.9926010966300964,True,0.998,True,0.6612040400505066,True,True,True,True
4377576215935403973,4377576215935403904,1.0,True,0.9768352508544922,True,1.0,True,0.3129352033138275,False,True,True,True
4377576220230043969,4377576220230043904,1.0,True,0.9963274598121643,True,0.99,True,0.6054090857505798,True,True,True,True
4383409984113760705,4383409984113760640,0.438,False,0.22516034543514252,False,0.726,True,0.20873481035232544,False,False,True,True
4383409984113760707,4383409984113760640,,False,,False,,False,,False,False,False,False
4383409984113760709,4383409984113760640,,False,,False,,False,,False,False,False,False
4401203866117526465,4401203866117526400,1.0,True,0.99664705991745,True,1.0,True,0.6401686072349548,True,True,True,True
4401203866117526469,4401203866117526400,0.99,True,0.5250756740570068,True,0.93,True,0.2458055466413498,False,True,True,True
4401203866117526471,4401203866117526400,,False,,False,,False,,False,False,False,False
4420925527012941761,4420925527012941696,0.956,True,0.9848843812942505,True,1.0,True,0.8412876725196838,True,True,True,True
4420925527012941763,4420925527012941696,,False,,False,,False,,False,False,False,False
4423331297112729537,4423331297112729472,0.986,True,0.9969847798347473,True,1.0,True,0.6910505890846252,True,True,True,True
4423331297112729539,4423331297112729472,1.0,True,0.991213858127594,True,0.994,True,0.8204947113990784,True,True,True,True
4447068718065707585,4447068718065707520,0.992,True,0.9980103373527527,True,0.99,True,0.7581362724304199,True,True,True,True
4447068718065707587,4447068718065707520,1.0,True,0.9994435906410217,True,1.0,True,0.9301390647888184,True,True,True,True
4447068718065707589,4447068718065707520,,False,,False,,False,,False,False,False,False
4449460499458597827,4449460499458597760,,False,,False,,False,,False,False,False,False
4460056527371093185,4460056527371093120,1.0,True,0.9955536723136902,True,1.0,True,0.9582298994064331,True,True,True,True
4460056527371093187,4460056527371093120,0.396,False,0.17666226625442505,False,0.746,True,0.36185991764068604,False,False,True,True
4464350292074707265,4464350292074707200,1.0,True,0.9997462630271912,True,0.99,True,0.8563041687011719,True,True,True,True
4464350292074707267,4464350292074707200,1.0,True,0.9997676014900208,True,0.998,True,0.898716390132904,True,True,True,True
4468051389956021569,4468051389956021504,0.992,True,0.9969990253448486,True,1.0,True,0.7161762118339539,True,True,True,True
4468051389956021571,4468051389956021504,0.998,True,0.9823465347290039,True,0.96,True,0.8057291507720947,True,True,True,True
4549042339867831489,4549042339867831424,0.04,False,0.1470986157655716,False,0.284,False,0.02320466749370098,False,False,False,False
4549042339867831491,4549042339867831424,,False,,False,,False,,False,False,False,False
4549042339867831493,4549042339867831424,,False,,False,,False,,False,False,False,False
4563464397667173441,4563464397667173376,,False,,False,,False,,False,False,False,False
4563464397667173443,4563464397667173376,,False,,False,,False,,False,False,False,False
4563464397667173445,4563464397667173376,,False,,False,,False,,False,False,False,False
4563464397667173449,4563464397667173376,,False,,False,,False,,False,False,False,False
4586221642663205187,4586221642663205120,1.0,True,0.9977269768714905,True,1.0,True,0.8367925882339478,True,True,True,True
4586221642663205189,4586221642663205120,1.0,True,0.9919359683990479,True,0.976,True,0.2230665534734726,False,True,True,True
4586221642663205191,4586221642663205120,,False,,False,,False,,False,False,False,False
4598922337697114561,4598922337697114496,1.0,True,0.9996799230575562,True,0.906,True,0.894986093044281,True,True,True,True
4598922337697114563,4598922337697114496,,False,,False,,False,,False,False,False,False
4598922337697114565,4598922337697114496,,False,,False,,False,,False,False,False,False
4624301922220808897,4624301922220808832,1.0,True,0.9878377914428711,True,1.0,True,0.23178143799304962,False,True,True,True
4624301922220808899,4624301922220808832,1.0,True,0.9987090826034546,True,1.0,True,0.4009384512901306,True,True,True,True
4624301922220808901,4624301922220808832,1.0,True,0.9981106519699097,True,1.0,True,0.18577910959720612,False,True,True,True
4643616493228910145,4643616493228910080,1.0,True,0.9948364496231079,True,0.992,True,0.7070860862731934,True,True,True,True
4643616493228910147,4643616493228910080,,False,,False,,False,,False,False,False,False
4672765852152430913,4672765852152430848,1.0,True,0.9914461374282837,True,0.992,True,0.10384352505207062,False,True,True,True
4672765852152430915,4672765852152430848,,False,,False,,False,,False,False,False,False
