source_id,comp_A_reference,comp_B,sample,valid,cost,loo_score,bic_like,K,df_eff,n_overlap,error,delay_A reference,delay_B,pair_delay_B_minus_A reference
6680426255713853824,6680426255713853891,6680426255713853893,114,True,0.09360483951220344,0.09360483951220344,0.8981593393191171,11,12.311681159453462,61,,0.0,34.1331671551471,34.1331671551471
6680426255713853824,6680426255713853891,6680426255713853893,115,True,0.08937253006845533,0.08937253006845533,0.9380147938826063,11,12.211538182529207,56,,0.0,101.50375939849619,101.50375939849619
6680426255713853824,6680426255713853891,6680426255713853893,116,True,0.10620170669001784,0.10620170669001784,0.9172353470738703,11,12.09173378378296,58,,0.0,82.43908143827073,82.43908143827073
6680426255713853824,6680426255713853891,6680426255713853893,117,True,0.1254586803315704,0.1254586803315704,0.9046253074802479,11,11.410179018127096,57,,0.0,92.91430827088749,92.91430827088749
6680426255713853824,6680426255713853891,6680426255713853893,118,True,0.09485951695113437,0.09485951695113437,0.9226154666309598,11,11.262860885058691,52,,0.0,199.21331139114707,199.21331139114707
6680426255713853824,6680426255713853891,6680426255713853893,119,True,0.13259935963094646,0.13259935963094646,0.9052304841850384,11,12.106703794010727,61,,0.0,26.940410012521795,26.940410012521795
6680426255713853824,6680426255713853891,6680426255713853893,120,True,0.10685623613811937,0.10685623613811937,0.9588607175449112,11,12.184338087003834,56,,0.0,152.04808087719925,152.04808087719925
6680426255713853824,6680426255713853891,6680426255713853893,121,True,0.14063214313271763,0.14063214313271763,0.9636514643066578,11,12.06236306608012,56,,0.0,101.35630649118795,101.35630649118795
6680426255713853824,6680426255713853891,6680426255713853893,122,True,0.07987585680446792,0.07987585680446792,0.882982583069421,11,11.920161175609941,59,,0.0,75.30039704247574,75.30039704247574
6680426255713853824,6680426255713853891,6680426255713853893,123,True,0.11824226505211537,0.11824226505211537,0.9184954323716626,11,12.039592372317623,59,,0.0,70.08225337081241,70.08225337081241
6680426255713853824,6680426255713853891,6680426255713853893,124,True,0.10743702378059856,0.10743702378059856,0.9324193341136806,11,12.18072333219694,58,,0.0,88.17700710511868,88.17700710511868
6680426255713853824,6680426255713853891,6680426255713853893,125,True,0.08931868836264999,0.08931868836264999,0.8612114851742191,11,11.974482180687001,62,,0.0,-12.348849623849375,-12.348849623849375
6680426255713853824,6680426255713853891,6680426255713853893,126,True,0.07979848110692993,0.07979848110692993,0.9331284333417108,11,11.854526585943717,54,,0.0,186.4685872181926,186.4685872181926
6680426255713853824,6680426255713853891,6680426255713853893,127,True,0.09502926961381648,0.09502926961381648,0.9286965963596393,11,11.93324891299596,56,,0.0,111.08646333321308,111.08646333321308
6680426255713853824,6680426255713853891,6680426255713853893,128,True,0.22591652967245976,0.22591652967245976,0.9986685928009162,11,11.841343190217772,57,,0.0,88.35367397418742,88.35367397418742
6680426255713853824,6680426255713853891,6680426255713853893,129,True,0.17084591753084913,0.17084591753084913,0.9190703450976857,11,10.606362646853887,52,,0.0,-191.80304976192477,-191.80304976192477
6680426255713853824,6680426255713853891,6680426255713853893,130,True,0.14681228273393335,0.14681228273393335,0.9180851878849471,11,12.090915581470885,61,,0.0,-13.784461152882216,-13.784461152882216
6680426255713853824,6680426255713853891,6680426255713853893,131,True,0.09773601156269811,0.09773601156269811,0.9520275098737029,11,12.202775283871423,56,,0.0,102.56295515044863,102.56295515044863
6680426255713853824,6680426255713853891,6680426255713853893,132,True,0.11019696291443615,0.11019696291443615,0.930171236860794,11,11.806672558239955,56,,0.0,101.35630649118795,101.35630649118795
